Prefecture,Category,Place,Location
tokyo,the 100 LocalLine of Japan,JR Ome Line,
tokyo,the 100 LocalLine of Japan,Arakawa Line streetcar,
tokyo,New Flower Mountains 100,BushuMitake,
tokyo,New Flower Mountains 100,Mt.Kumotori,
tokyo,Japan Top 100 Sakura Viewing Sites,Ueno Imperial gift Park,Taito-ku Tokyo
tokyo,Japan Top 100 Sakura Viewing Sites,Shinjuku Imperial garden,Shinjuku-ku Tokyo
tokyo,Japan Top 100 Sakura Viewing Sites,Sumida Park,Sumida-ku Tokyo
tokyo,Japan Top 100 Sakura Viewing Sites,Koganei Park,Koganei-shi Tokyo
tokyo,Japan Top 100 Sakura Viewing Sites,Inogashira Imperial gift Park,Musashino-shi Tokyo
tokyo,Geology 100 selections of Japan,Izu Oshima,
tokyo,Geology 100 selections of Japan,Miyakejima,
tokyo,Geology 100 selections of Japan,Chichi boninite,
tokyo,The best 100th of Public Building,Tokyo Metropolitan Government Building . Shinjuku,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,NTT Hibiya Building . Chiyoda,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,National Theatre . Chiyoda,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,Supreme Court . Chiyoda,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,The National Museum of Western Art,
tokyo,The best 100th of Public Building,the main building . Taito,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,Tokyo Bunka Kaikan . Taito,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,National Yoyogi Stadium . Shibuya,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,The best 100th of Public Building,Setagaya Ward,
tokyo,The best 100th of Public Building,Setagaya Art Museum . Setagaya,
tokyo,The best 100th of Public Building,Tokyo .,
tokyo,100 Japanese bridge,Yotsuyamitsuke bridge,
tokyo,100 Japanese bridge,Hikawa big Bridge,"Hikawa, Okutama-cho, Nishitama-gun, Tokyo"
tokyo,100 Japanese bridge,Senju big Bridge,"Senjuhashido town, Arakawa-ku, Tokyo"
tokyo,100 Japanese bridge,Ryogoku Bridge,"Ryogoku, Sumida-ku, Tokyo"
tokyo,100 Japanese bridge,Tokiwa Bridge,"Hongoku-cho, Nihonbashi, Chuo-ku, Tokyo"
tokyo,100 Japanese bridge,Nihonbashi,"Nihonbashi Muromachi, Nihonbashi, Chuo-ku, Tokyo"
tokyo,100 Japanese bridge,Eitai bridge,"Saga, Koto-ku, Shin-machi, Chuo-ku, Tokyo"
tokyo,100 Japanese bridge,Niju Bridge,"Chiyoda, Chiyoda-ku, Tokyo"
tokyo,100 Japanese bridge,Hachimanbashi (Danjo Bridge),"Tomioka, Koto-ku, Tokyo"
tokyo,100 famous Pass in Japan,Kobotoke pass .,
tokyo,100 famous Pass in Japan,Goten pass .,
tokyo,100 selections of Beautiful Japanese Village Landscape,Imatera Fujihashi,Ome Tokyo
tokyo,Japanese city park best 100,Otonashi Water park,"Kita-ku, Tokyo"
tokyo,Japanese city park best 100,Hibiya Tokyo Metropolitan park,Tokyo Hibiya district
tokyo,Japanese city park best 100,Ueno Tokyo Metropolitan Imperial gift park,"Taito-ku, Tokyo"
tokyo,Japanese city park best 100,Mizumoto Tokyo Metropolitan park,"Katsushika-ku, Tokyo"
tokyo,Japanese city park best 100,Yoyogi park,Tokyo Yoyogi district
tokyo,Japanese city park best 100,Showa Memorial National park,"Tachikawa, Tokyo, Akishima"
tokyo,The 100 elections of the waterfall in Japan,Haraizawa Falls,"Hinohara-mura Nishitama-gun, Tokyo"
tokyo,Hometown Rice Ball Onigiri Top 100,Shimazushi,Tokyo Izu Shichito Hachijojima
tokyo,Hometown Rice Ball Onigiri Top 100,Hanba rice,"Tokyo Izu Shichito , Oshima"
tokyo,Top 100 Dam Lake,Tamako - Murayama Dam,Tokyo Higashiyamato
tokyo,Top 100 Dam Lake,Okutamako - Ogouchi Dam,Tokyo Nishitama Okutama
tokyo,Top 100 Famous Water,Pond spring water group of road and Masugatanoike,Tokyo Kokubunji Nishimoto
tokyo,Top 100 Famous Water,Mitake Valley,Tokyo Ome
