Prefecture,Category,Place,Location
ishikawa,Selection of best 100 beach,Sodegahama beach,
ishikawa,Selection of best 100 beach,Uchinada beach,
ishikawa,the 100 LocalLine of Japan,Noto Railway Nanao Line,
ishikawa,the 100 LocalLine of Japan,Hokuriku Railroad Ishikawa Line - Asanogawa Line,
ishikawa,New Flower Mountains 100,Iozen,
ishikawa,New Flower Mountains 100,Hakusan,
ishikawa,Japan Top 100 Sakura Viewing Sites,Kenrokuen,Kanazawa-shi Ishikawa
ishikawa,Japan Sunset Best 100,Suzu-shi,
ishikawa,Geology 100 selections of Japan,Shiramine Hyakumanganiwa.,
ishikawa,The best 100th of Public Building,Asakura Isokichi museum . Ishikawa Terai .,
ishikawa,The best 100th of Public Building,Ishikawa Museum of History . Kanazawa,
ishikawa,The best 100th of Public Building,Ishikawa .,
ishikawa,The best 100th of Public Building,Kanazawa City Cultural Hall . Kanazawa,
ishikawa,The best 100th of Public Building,Ishikawa .,
ishikawa,the 100 Japanese hot springs,Yamanaka Onsen,
ishikawa,the 100 Japanese hot springs,Yamashiro Onsen,
ishikawa,the 100 Japanese hot springs,Awazu Onsen,
ishikawa,100 Japanese bridge,Saikawa big Bridge,"Katamachi, Kanazawa, Ishikawa"
ishikawa,100 famous Pass in Japan,pass valley .,
ishikawa,100 selections of Beautiful Japanese Village Landscape,Hiyou,Komatsu Ishikawa
ishikawa,Japanese city park best 100,Kenrokuen,"Kanazawa, Ishikawa Prefecture"
ishikawa,the 100 Best Rice Terraces in Japan,Okuyamada Rice terraces,Ishikawa Tsubata
ishikawa,the 100 Best Rice Terraces in Japan,Osasanami paddy,Ishikawa Togi
ishikawa,the 100 Best Rice Terraces in Japan,Shiroyone senmaida,"Wajima, Ishikawa"
ishikawa,The 100 elections of the waterfall in Japan,Ubaga Falls,"Hakusan, Ishikawa"
ishikawa,Hometown Rice Ball Onigiri Top 100,Oshizushi,Ishikawa Kanazawa
ishikawa,Hometown Rice Ball Onigiri Top 100,Bamboo Flower zushi,Ishikawa Noto
ishikawa,Hometown Rice Ball Onigiri Top 100,Persimmon Zushi,Ishikawa Kaga
ishikawa,Top 100 Famous Water,Kobo water pond,Ishikawa Hakusan Kamashimizu
ishikawa,Top 100 Famous Water,Kowasyudo,Ishikawa Wajima Monzen Oniya
ishikawa,Top 100 Famous Water,Mitarai pond,Ishikawa Nanao
