Prefecture,Category,Place,Location
fukuoka,Selection of best 100 beach,Hatsu beach,
fukuoka,Selection of best 100 beach,Keya beach,
fukuoka,the 100 LocalLine of Japan,JR Kyudai Line,
fukuoka,the 100 LocalLine of Japan,Heisei Chikuho railway,
fukuoka,New Flower Mountains 100,Koshozan,
fukuoka,New Flower Mountains 100,Asoplateau,
fukuoka,Japan Top 100 Sakura Viewing Sites,Nishi Park,Fukuoka-shi Fukuoka
fukuoka,Japan Sunset Best 100,Shima-cho,
fukuoka,The best 100th of Public Building,Kitakyushu Municipal Museum of Art . Kitakyushu,
fukuoka,The best 100th of Public Building,Fukuoka .,
fukuoka,The best 100th of Public Building,Tagawa culture area . Tagawa,
fukuoka,The best 100th of Public Building,Fukuoka .,
fukuoka,the 100 Japanese hot springs,Futsukaichi Onsen,
fukuoka,100 Japanese bridge,Tokiwabashi,"Kyomachi, Kokura, Kitakyushu, Fukuoka"
fukuoka,100 famous Pass in Japan,Yagiyama pass .,
fukuoka,100 famous Pass in Japan,Hiyamizu pass .,
fukuoka,100 famous Pass in Japan,Chuai pass .,
fukuoka,100 selections of Beautiful Japanese Village Landscape,Tokakuji,Fukuoka Kanda
fukuoka,Japanese city park best 100,Hibikinada green place,"Kitakyushu, Fukuoka Prefecture"
fukuoka,Japanese city park best 100,Tenchizan park,"Buzen, Fukuoka Prefecture"
fukuoka,Japanese city park best 100,Uminonakamichi Seaside park,"Fukuoka, Fukuoka Prefecture"
fukuoka,Japanese city park best 100,Minami park,"Fukuoka, Fukuoka Prefecture"
fukuoka,the 100 Best Rice Terraces in Japan,Hironai Uehara district rice terraces,Fukuoka Hoshino
fukuoka,the 100 Best Rice Terraces in Japan,Tsuzura Rice terraces,Fukuoka Ukiha
fukuoka,the 100 Best Rice Terraces in Japan,Shirakawa Rice terraces,Fukuoka Amagi
fukuoka,the 100 Best Rice Terraces in Japan,bamboo Rice terraces,Fukuoka Hoshuyama
fukuoka,Hometown Rice Ball Onigiri Top 100,Oninotekoboshi,Fukuoka Yame
fukuoka,Hometown Rice Ball Onigiri Top 100,Persimmon sushi,Fukuoka Chikuho Asakura
fukuoka,Hometown Rice Ball Onigiri Top 100,Kanagi rice,Fukuoka
fukuoka,Top 100 Dam Lake,Kamiakizuki lake - Egawa Dam,Fukuoka Asakura
fukuoka,Top 100 Dam Lake,MInagi Lake - Terauchi Dam,Fukuoka Asakura
fukuoka,Top 100 Famous Water,Shimizu spring water,Fukuoka Ukiha
fukuoka,Top 100 Famous Water,Furo water,Fukuoka
