Prefecture,Category,Place,Location
kagoshima,Selection of best 100 beach,Wakimoto beach,
kagoshima,Selection of best 100 beach,Akune Oshima beach,
kagoshima,Selection of best 100 beach,Ohama beach park,
kagoshima,the 100 LocalLine of Japan,JR Ibusukimakurazaki Line,
kagoshima,the 100 LocalLine of Japan,Hisatsu Orange,
kagoshima,the 100 LocalLine of Japan,JR Hisatsu Line,
kagoshima,the 100 LocalLine of Japan,JR Nichinan Line,
kagoshima,New Flower Mountains 100,Kirishimarenpo,
kagoshima,New Flower Mountains 100,Mt.kaimon,
kagoshima,The 100 New Japan Travel Destinations,Ibusuki hot spring,
kagoshima,The 100 New Japan Travel Destinations,Sakurajima,
kagoshima,The 100 New Japan Travel Destinations,Amami Oshima,
kagoshima,The 100 New Japan Travel Destinations,Sata cape,
kagoshima,Japan Top 100 Sakura Viewing Sites,Tadamoto Park,OOkuchi-shi Kagoshima
kagoshima,Geology 100 selections of Japan,Kirishima volcanic group,
kagoshima,Geology 100 selections of Japan,Sakurajima,
kagoshima,Geology 100 selections of Japan,Yakushima,
kagoshima,The best 100th of Public Building,Kirishima International Music Hall . Kagoshima Makizono .,
kagoshima,The best 100th of Public Building,Crane Park Izumi . Kagoshima Izumi .,
kagoshima,the 100 Japanese hot springs,Ibusuki Onsen,
kagoshima,the 100 Japanese hot springs,Kirishima Onsenkyo,
kagoshima,the 100 Japanese hot springs,Shinkawakeikoku Onsenkyo,
kagoshima,the 100 Japanese hot springs,Kurinodake Onsen,
kagoshima,100 Japanese bridge,Nishida bridge,"Nishisengoku-cho, Kagoshima, Kagoshima"
kagoshima,100 famous Pass in Japan,Mimitori pass .,
kagoshima,100 selections of Beautiful Japanese Village Landscape,Gamo,Kikai Kagoshima
kagoshima,Japanese city park best 100,Yoshino park,"Kagoshima, Kagoshima Prefecture"
kagoshima,the 100 Best Rice Terraces in Japan,Nutinobi Rice terraces,Kagoshima incoming
kagoshima,the 100 Best Rice Terraces in Japan,Kurinotyokouda Rice terraces,Kagoshima Kurino
kagoshima,the 100 Best Rice Terraces in Japan,Tsukuda Rice terraces,Kagoshima ei
kagoshima,The 100 elections of the waterfall in Japan,Ryumon Falls,"Cho, Aira-gun, Kajiki, Kagoshima"
kagoshima,The 100 elections of the waterfall in Japan,Okawa Falls,"Yaku-cho, Kagoshima Kumage"
kagoshima,Hometown Rice Ball Onigiri Top 100,Chicken rice,Kagoshima Amami Oshima Island
kagoshima,Hometown Rice Ball Onigiri Top 100,Zushi,Kagoshima throughout
kagoshima,Top 100 Dam Lake,Otsuru lake - Tsuruta Dam,Kagoshima Satsuma Okuchi
kagoshima,Top 100 Famous Water,Yakushima Miyanoura running water,Kagoshima Kumage Yaku
kagoshima,Top 100 Famous Water,Kirishima piedmont Maruike spring water,Kagoshima Aira Yusui
kagoshima,Top 100 Famous Water,Shimizu spring water,Kagoshima Kawabe
