Prefecture,Category,Place,Location
kochi,Selection of best 100 beach,Ya Shi park beach,
kochi,Selection of best 100 beach,Okitsu beach,
kochi,the 100 LocalLine of Japan,JR Dosan Line,
kochi,the 100 LocalLine of Japan,Tosakuroshio railwayu Gomen Nahari Line,
kochi,the 100 LocalLine of Japan,JR Yodo Line,
kochi,The 100 New Japan Travel Destinations,Ashizuri cape,
kochi,The 100 New Japan Travel Destinations,Muroto cape,
kochi,Japan Top 100 Sakura Viewing Sites,Kagamino Park,Kami-shi Kochi
kochi,Japan Top 100 Sakura Viewing Sites,Makino Park,Sagawa-cho Takaoka-gun Kochi
kochi,Japan Sunset Best 100,Sukumo-shi,
kochi,Geology 100 selections of Japan,Ryuga sinus,
kochi,Geology 100 selections of Japan,Yokogurazan,
kochi,Geology 100 selections of Japan,Sagawa,
kochi,Geology 100 selections of Japan,Kure melange,
kochi,The best 100th of Public Building,Ino Paper Museum . Ino,
kochi,The best 100th of Public Building,Kochi .,
kochi,100 Japanese bridge,Harimayabashi,"Harimaya-cho, Kochi"
kochi,100 Japanese bridge,Ittohyo Submersible bridge,"Ittohyo, Kubokawa-cho, Takaoka-gun, Kochi"
kochi,100 famous Pass in Japan,Jiyoshi pass .,
kochi,100 selections of Beautiful Japanese Village Landscape,Kanzaiko,Kochi Yusuhara
kochi,Japanese city park best 100,Haruno General Athletic park,"Kochi, Kochi Prefecture"
kochi,the 100 Best Rice Terraces in Japan,Senmaida,Kochi Yusuhara
kochi,The 100 elections of the waterfall in Japan,Ryuo Falls,"Otoyo town Nagaoka-gun, Kochi"
kochi,The 100 elections of the waterfall in Japan,Todoroki Falls,"Kami, Kochi"
kochi,The 100 elections of the waterfall in Japan,Ootaru Falls,"Takaoka-cho, Ochi-gun, Kochi"
kochi,Hometown Rice Ball Onigiri Top 100,Kokera,Kochi Aki Toyo
kochi,Hometown Rice Ball Onigiri Top 100,Inakazushi,Kochi mountainous areas
kochi,Hometown Rice Ball Onigiri Top 100,Abalone rice,Kochi Kami Yasu
kochi,Top 100 Dam Lake,Sameura lake - Sameura dam,Kochi Nagaoka Motoyama Tosa Tosa
kochi,Top 100 Famous Water,Shimanto River,Kochi west
kochi,Top 100 Famous Water,Antoku water,Kochi Takaoka Ochi
