Prefecture,Category,Place,Location
yamanashi,the 100 LocalLine of Japan,Fuji Kyuko Line,
yamanashi,the 100 LocalLine of Japan,JR Koumi Line,
yamanashi,New Flower Mountains 100,Mt.Kumotori,
yamanashi,New Flower Mountains 100,Mt.Hiryu,
yamanashi,New Flower Mountains 100,Mt.Kasatori,
yamanashi,New Flower Mountains 100,Kobushitake,
yamanashi,New Flower Mountains 100,Mt.Keitoku,
yamanashi,New Flower Mountains 100,Otomekougen,
yamanashi,New Flower Mountains 100,Daibosatsutouge,
yamanashi,New Flower Mountains 100,Kukiyama,
yamanashi,New Flower Mountains 100,Nijurokuyasan,
yamanashi,New Flower Mountains 100,Mitsutogeyama,
yamanashi,New Flower Mountains 100,Kurofuji,
yamanashi,New Flower Mountains 100,KaiKomagatake,
yamanashi,New Flower Mountains 100,Senjogatake,
yamanashi,New Flower Mountains 100,Kitadake,
yamanashi,New Flower Mountains 100,Houousanzan,
yamanashi,New Flower Mountains 100,Kushigatayama,
yamanashi,New Flower Mountains 100,Kongenyama,
yamanashi,The 100 New Japan Travel Destinations,Shosenkyo,
yamanashi,The 100 New Japan Travel Destinations,Fuji mountain,
yamanashi,Japan Top 100 Sakura Viewing Sites,Ooboshi Park,Minamikoma-gun Yamanashi
yamanashi,Geology 100 selections of Japan,Itoigawa - Shizuoka Tectonic Line ( Hayakawa ),
yamanashi,Geology 100 selections of Japan,Fujisan,
yamanashi,Geology 100 selections of Japan,Yatsugatake,
yamanashi,The best 100th of Public Building,Yamanashi Museum of Art . Kofu,
yamanashi,The best 100th of Public Building,Yamanashi .,
yamanashi,the 100 Japanese hot springs,Narada Onsen,
yamanashi,the 100 Japanese hot springs,Nishiyama Onsen,
yamanashi,100 Japanese bridge,Kainosaruhashi,"Saruhashi town, Otsuki, Yamanashi"
yamanashi,100 famous Pass in Japan,Daibosatsu pass .,
yamanashi,100 famous Pass in Japan,Misaka pass .,
yamanashi,100 selections of Beautiful Japanese Village Landscape,Tokaichiba,Tsuru Yamanashi
yamanashi,100 selections of Beautiful Japanese Village Landscape,Fujigamine,Kamikuishiki Yamanashi
yamanashi,100 selections of Beautiful Japanese Village Landscape,Uchino,Yamanashi Oshino
yamanashi,Japanese city park best 100,Kose Sports park in Yamanashi,
yamanashi,Japanese city park best 100,Yamanashi Prefecture,
yamanashi,The 100 elections of the waterfall in Japan,Nanatsugama Godan Falls,"Yamanashi, Yamanashi"
yamanashi,The 100 elections of the waterfall in Japan,Senga Falls,"Kofu, Yamanashi"
yamanashi,The 100 elections of the waterfall in Japan,Kitasyoujiga Falls,"Hokuto, Yamanashi"
yamanashi,Hometown Rice Ball Onigiri Top 100,Hyakumanben,Yamanashi Higashiyatsushiro Nakamichi Nakahata
yamanashi,Hometown Rice Ball Onigiri Top 100,Carrot rice,Yamanashi Nishiyatsushiro Mitama Otsuka
yamanashi,Hometown Rice Ball Onigiri Top 100,Yawaimo Rice,Yamanashi Nakakoma Ryuoh
yamanashi,Top 100 Famous Water,Oshino Hakkai,Yamanashi Minamitsuru Oshino
yamanashi,Top 100 Famous Water,Yatsugatake southern foot highland spring water group,Yamanashi Hokuto
yamanashi,Top 100 Famous Water,Shirasu / tailed river,Yamanashi Hokuto
