Prefecture,Category,Place,Location
mie,Selection of best 100 beach,Goza Shirahama beach,
mie,Selection of best 100 beach,Atashika beach,
mie,the 100 LocalLine of Japan,Sangi railroad Hokusei Line,
mie,the 100 LocalLine of Japan,JR Kansai Line,
mie,New Flower Mountains 100,Fujiwaradake,
mie,New Flower Mountains 100,Osugidani,
mie,New Flower Mountains 100,Kumanoji,
mie,The 100 New Japan Travel Destinations,Onigajo,
mie,The 100 New Japan Travel Destinations,Ago bay,
mie,The 100 New Japan Travel Destinations,Futamigaura,
mie,Japan Top 100 Sakura Viewing Sites,Mitake,Tsu-shi Mie
mie,Japan Top 100 Sakura Viewing Sites,Miyagawa embankment,Ise-shi Mie
mie,Japan Sunset Best 100,Ago-cho,
mie,Japan Sunset Best 100,Hamajima-cho,
mie,Geology 100 selections of Japan,Median Tectonic Line ( Tsukide ),
mie,The best 100th of Public Building,Museum of the sea . Toba,
mie,The best 100th of Public Building,Mie .,
mie,The best 100th of Public Building,Mie Museum of Art . Tsu,
mie,The best 100th of Public Building,Mie .,
mie,the 100 Japanese hot springs,Sakakibara Onsen,
mie,100 Japanese bridge,Ise Uji Bridge,"Ujinakanokiri-cho, Ise City, Mie"
mie,100 famous Pass in Japan,Suzuka pass .,
mie,100 famous Pass in Japan,Nagano pass .,
mie,100 selections of Beautiful Japanese Village Landscape,Atawa,Mihama Mie
mie,Japanese city park best 100,Tyubudai Athletic park,"Matsusaka, Mie Prefecture"
mie,the 100 Best Rice Terraces in Japan,Maruyama senmaida,Kiwa Mie Kumano.
mie,the 100 Best Rice Terraces in Japan,Fukano dandanda,Mie Iinan
mie,the 100 Best Rice Terraces in Japan,Sakamoto Rice terraces,"Kameyama, Mie"
mie,The 100 elections of the waterfall in Japan,Nunobiki Falls,"Kumano, Mie"
mie,The 100 elections of the waterfall in Japan,Akameshijuhachi Falls,"Nabari, Mie"
mie,The 100 elections of the waterfall in Japan,Nanatsukama Falls,"Odai-cho, Taki-gun, Mie"
mie,Hometown Rice Ball Onigiri Top 100,Meharizushi,Mie Higashi Kishu
mie,Hometown Rice Ball Onigiri Top 100,Celebration sushi of the Kishu,Mie Higashi Kishu
mie,Hometown Rice Ball Onigiri Top 100,Tekonezushi,Mie Iseshima
mie,Top 100 Famous Water,Chishaku nutrient water,Mie Yokkaichi
mie,Top 100 Famous Water,Erihara water hole ( Amanoiwato ),Mie Shima Isobe
