Prefecture,Category,Place,Location
okinawa,Selection of best 100 beach,Okinawa Commemorative National Government Park Emerald Beach,
okinawa,Selection of best 100 beach,Manza Beach,
okinawa,Selection of best 100 beach,Rizzan Park Beach,
okinawa,Selection of best 100 beach,San Marina Beach,
okinawa,Selection of best 100 beach,Moon Beach,
okinawa,Selection of best 100 beach,Renaissance Beach,
okinawa,Japan Top 100 Sakura Viewing Sites,Nago Castle Park,Nago-shi Okinawa
okinawa,Geology 100 selections of Japan,Tatamiishi of Oshima,
okinawa,Geology 100 selections of Japan,Daito raised atoll,
okinawa,100 Japanese bridge,Tennyo Bridge,"Shuritonokura-cho, Naha, Okinawa"
okinawa,100 famous Pass in Japan,Fere euphoria mountain rock .,
okinawa,100 selections of Beautiful Japanese Village Landscape,Odomi,Okinawa Taketomi
okinawa,100 selections of Beautiful Japanese Village Landscape,Taketomi,Okinawa Taketomi
okinawa,100 selections of Beautiful Japanese Village Landscape,Gakiya,Okinawa Iheya
okinawa,Japanese city park best 100,Okinawa National Memorial park,"Motobu-cho, Kunigami-gun, Okinawa Prefecture"
okinawa,Japanese city park best 100,Higashihennazaki park,"Miyako-gun, Okinawa Prefecture Johen town"
okinawa,The 100 elections of the waterfall in Japan,Mariyudou Falls,"Taketomi-cho, Yaeyama-gun, Okinawa"
okinawa,Hometown Rice Ball Onigiri Top 100,Pumpkin Misjuicy,Okinawa Miyako Island
okinawa,Hometown Rice Ball Onigiri Top 100,Casa Onigiri,Okinawa Naha
okinawa,Hometown Rice Ball Onigiri Top 100,Kufajuicy with Taimo,Okinawa Ginowan
okinawa,Top 100 Dam Lake,Fukujo lake - Fukuchi Dam,Okinawa Kunigami Higashi
okinawa,Top 100 Dam Lake,Canna lake - Kanna Dam,Okinawa Kunigami Ginoza
okinawa,Top 100 Dam Lake,Kurashiki lake - Kurashiki Dam,Okinawa Okinawa
okinawa,Top 100 Famous Water,Kakihana Hikawa,Okinawa Nanjo
