Prefecture,Category,Place,Location
miyazaki,Selection of best 100 beach,Shimoaso beach,
miyazaki,Selection of best 100 beach,Sumie beach,
miyazaki,Selection of best 100 beach,Isegahama beach,
miyazaki,Selection of best 100 beach,Takanabe beach,
miyazaki,Selection of best 100 beach,Aoshima beach,
miyazaki,Selection of best 100 beach,Futo beach,
miyazaki,Selection of best 100 beach,Odotsu beach,
miyazaki,the 100 LocalLine of Japan,JR Nichinan Line,
miyazaki,the 100 LocalLine of Japan,JR Hisatsu Line,
miyazaki,New Flower Mountains 100,Kirishimarenpo,
miyazaki,The 100 New Japan Travel Destinations,Aoshima,
miyazaki,The 100 New Japan Travel Destinations,Ebino plateau,
miyazaki,The 100 New Japan Travel Destinations,Toi cape,
miyazaki,Japan Top 100 Sakura Viewing Sites,Mochio Sekinoo park,Miyakonojo-shi Miyazaki
miyazaki,Geology 100 selections of Japan,Aoshima,
miyazaki,Geology 100 selections of Japan,Ichiki mismatch,
miyazaki,The best 100th of Public Building,Miyazaki Prefectural Cultural Park . Miyazaki,
miyazaki,The best 100th of Public Building,Miyazaki .,
miyazaki,the 100 Japanese hot springs,Kyomachi Onsen,
miyazaki,100 Japanese bridge,Tachibana bridge,"Tachibanadorihigashi, Miyazaki, Miyazaki"
miyazaki,100 famous Pass in Japan,Kunimi pass .,
miyazaki,100 famous Pass in Japan,Nakayama pass .,
miyazaki,100 selections of Beautiful Japanese Village Landscape,Zao,Miyazaki Zao
miyazaki,100 selections of Beautiful Japanese Village Landscape,Takadahara,Miyazaki national wealth
miyazaki,100 selections of Beautiful Japanese Village Landscape,Togawa,Miyazaki Hinokage
miyazaki,100 selections of Beautiful Japanese Village Landscape,Mine,Miyazaki Saigo
miyazaki,Japanese city park best 100,Miyazaki Prefectural Sports park,"Miyazaki, Miyazaki Prefecture"
miyazaki,Japanese city park best 100,Saitobaru Special Mounds Historic park,"Saito City, Miyazaki Prefecture"
miyazaki,the 100 Best Rice Terraces in Japan,Masayuki Rice terraces,Miyazaki Ebino
miyazaki,the 100 Best Rice Terraces in Japan,Otonoguti Rice terraces ( Kamigaminosato ),Takachiho Miyazaki
miyazaki,the 100 Best Rice Terraces in Japan,Tochimata Rice terraces,Takachiho Miyazaki
miyazaki,the 100 Best Rice Terraces in Japan,Tokubetto Rice terraces,Takachiho Miyazaki
miyazaki,the 100 Best Rice Terraces in Japan,Ishigakinomura Rice terraces,Miyazaki Hinokage
miyazaki,the 100 Best Rice Terraces in Japan,Torinosu Rice terraces,Miyazaki Gokase
miyazaki,the 100 Best Rice Terraces in Japan,Shimonoharu Rice terraces,Miyazaki Gokase
miyazaki,the 100 Best Rice Terraces in Japan,Hikage Rice terraces,Miyazaki Gokase
miyazaki,the 100 Best Rice Terraces in Japan,Sakamoto Rice terraces,Miyazaki Nichinan
miyazaki,the 100 Best Rice Terraces in Japan,Mukae Rice terraces,Miyazaki Nishimera
miyazaki,the 100 Best Rice Terraces in Japan,Harunotaira Rice terraces,Miyazaki Nishimera
miyazaki,The 100 elections of the waterfall in Japan,Sekinoo Falls,"Miyakonojo, Miyazaki"
miyazaki,The 100 elections of the waterfall in Japan,Yatogi Falls,"Tsuno-cho, Koyu-gun, Miyazaki"
miyazaki,The 100 elections of the waterfall in Japan,Manai Falls,"Takachiho-cho, Nishiusuki-gun, Miyazaki"
miyazaki,The 100 elections of the waterfall in Japan,Mukabaki Falls,"Nobeoka, Miyazaki"
miyazaki,Hometown Rice Ball Onigiri Top 100,Shiitakezushi,Miyazaki northern mountainous areas
miyazaki,Hometown Rice Ball Onigiri Top 100,Corn rice,Miyazaki Takachiho
miyazaki,Hometown Rice Ball Onigiri Top 100,Hiyajiru,Miyazaki southern
miyazaki,Top 100 Dam Lake,Hyugashiibako - Kamishiiba Dam,Miyazaki Higashiusuki Shiiba
miyazaki,Top 100 Famous Water,Ideyama spring water out,Miyazaki Kobayashi
miyazaki,Top 100 Famous Water,Ayagawa spring water group,Miyazaki Higashimorokata Aya
